[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 16.1406GB
Total: 24.4634GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 2768942.208000
./data/exp3_2bit_gpu//llama3_8B_synthesis_16400_128_GPU_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution0_ramul_decode.csv
LLM | 2768.9us  | 0 - 2768.9 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 21.103mJ  | RD: 435.97mJ  | WR: 0.8175mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 67.28mJ  | Total: 457.89mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=1545.9us softmax=0us score_v=0us kv_quant=0us
			up_proj | 10.134us  | 2143.1 - 2153.2 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2143.1 - 2153.2 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 2153.2 - 2163.2 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 2153.2 - 2163.2 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 2163.2 - 2163.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2163.2 - 2163.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_25 | 86.529us  | 2163.2 - 2249.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 2163.2 - 2163.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 2163.3 - 2219.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2163.3 - 2167.8 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2163.3 - 2167.8 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 2167.8 - 2215.5 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 2167.8 - 2167.8 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2167.8 - 2167.8 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 2167.8 - 2215.5 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 2215.5 - 2215.5 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 2215.5 - 2219.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 2215.5 - 2219.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 2219.3 - 2219.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2219.3 - 2219.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2219.4 - 2219.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.372us  | 2219.4 - 2249.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 2219.4 - 2229.5 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2219.4 - 2229.5 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 2229.5 - 2229.6 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 2229.6 - 2239.8 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2229.6 - 2239.8 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 2239.8 - 2249.7 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 2239.8 - 2249.7 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 2249.7 - 2249.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2249.7 - 2249.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_26 | 86.529us  | 2249.8 - 2336.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 2249.8 - 2249.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 2249.8 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2249.8 - 2254.4 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2249.8 - 2254.4 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 2254.4 - 2302.1 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 2254.4 - 2254.4 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2254.4 - 2254.4 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 2254.4 - 2302.1 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 2302.1 - 2302.1 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 2302.1 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 2302.1 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 2305.9 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2305.9 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2305.9 - 2305.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.372us  | 2305.9 - 2336.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 2305.9 - 2316 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2305.9 - 2316 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 2316 - 2316.2 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 2316.2 - 2326.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2316.2 - 2326.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 2326.3 - 2336.3 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 2326.3 - 2336.3 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 2336.3 - 2336.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2336.3 - 2336.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_27 | 86.529us  | 2336.3 - 2422.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 2336.3 - 2336.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 2336.3 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2336.3 - 2340.9 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2336.3 - 2340.9 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 2340.9 - 2388.6 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 2340.9 - 2340.9 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2340.9 - 2340.9 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 2340.9 - 2388.6 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 2388.6 - 2388.6 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 2388.6 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 2388.6 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 2392.4 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2392.4 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2392.4 - 2392.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.372us  | 2392.4 - 2422.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 2392.4 - 2402.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 2392.4 - 2402.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 2402.6 - 2402.7 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
